WEATHER,how is the weather
WEATHER,is it raining outside
WEATHER,should i bring an umbrella today
WEATHER,what degrees is it outside
WEATHER,what's it like outside
WEATHER,what's the forecast for this evening
WEATHER,will it rain today
OBJECT,can you tell me about this
OBJECT,what am i looking at
OBJECT,what does this do
OBJECT,what does this object do
OBJECT,what is this object
OBJECT,what's this
TIME,what is the time
TIME,tell me what the time is
TIME,what time is it
DATE,what is the date
DATE,tell me what the date is
DATE,what is the date today
DATE,what date is it
PAINT,paint me like van gogh
PAINT,hey paint me like your favourite artist
PAINT,make a painting of what you see
PAINT,paint what you see right now
PAINT,paint me like salvadore dali
PAINT,paint me how ever you want
PAINT,make a painting of me
NEWS,what is going on in the news
NEWS,give me the latest headlines
NEWS,tell me the news
NEWS,can you give me a news update
NEWS,give me a news flash
